unit	c_sources	status	crate	bench_ratio	notes
backend-access-index-genam	src/backend/access/index/genam.c	ported	genam	cold	m1-spine; systable family + RelationGetIndexScan (IndexScanEnd = Drop); SysScanDescData = struct over closed SysScanArm{Index,Heap} enum (rule 4) holding indexam/tableam descriptors BY VALUE - fabled's Box<dyn SysScanLive> lifetime-erasure refused; systable_getnext returns &HeapTupleData borrow of the scan slot (C contract, no per-tuple alloc/copy) via exec_fetch_slot_heap_tuple Slot arm; installs genam_seams::systable_scan_catalog (catcache-declared push-style surface; marshal opens per-scan context + NoLock re-open since decl carries no Mcx - direct consumers use the Mcx API); wired tableam::table_slot_create -> exectuples::make_tuple_table_slot (was loud panic, exectuples landed); snapmgr via seams get_catalog_snapshot/register_snapshot/unregister_snapshot ('static snapmgr-owned Rc, decls in snapmgr_seams); heap arm real through heapam read lane (stops at uninstalled backend seams in tests), index arm at nbtree btbeginscan (test-asserted); systable_inplace_update begin logic real up to heap_inplace_lock loud panic, finish/cancel loud-panic (heapam in flight); index_compute_xid_horizon_for_tuples loud-panic (bufmgr + hash/gist callers unported); 2026-07-03 BuildIndexValueDescription LIVE (genam.c:177-282): ACL gate via pg_class/pg_attribute aclcheck seams + relrowsecurity read (check_enable_rls unported: owner outcome identical, RLS-on omits DETAIL), key rendering via type output fns, installed as genam_seams::build_index_value_description, consumed by nbtree _bt_check_unique 23505 DETAIL; CheckXidAlive/bsysscan + HandleConcurrentAbort real (xact direct dep, procarray/transam seams, 40000); ReindexIsProcessingIndex hardcoded false mirroring indexam (C list statically empty); C divergence: inplace-begin CFI via postgres_seams::check_for_interrupts (2026-07-02 sweep); 9 tests, density 4.7% (genam_seams 38% is the catcache-lane contract comment on a 21-line decl crate, sibling seam crates similar); bench: n/a cold until nbtree+heapam land - systable_getnext is catalog-lookup-hot, bench with catcache miss path then
backend-access-index-indexam	src/backend/access/index/indexam.c	ported	indexam	m2-point-gate: composed point 1.362x-instr/1.016x-ns, fullscan 1.353x/1.164x (seqscan slope CONFIRMED +~68/row extra in agg composition), orderby 1.192x/1.133x - ALL FAIL (job 1783063739 @ 5d9dd99; docs/benchmarks/m2-point-gate.md)	m1-spine; IndexAmKind enum resolved once from relam (rule 4, sets the AM-dispatch pattern); index_getnext_tid exact C cost shape (one-probe pgstat, kill_prior_tuple ordering) - THE M2 bench target when nbtree-core lands; scan descriptors by value (no palloc, structural win); xs_itup/xs_itupdesc amgettuple surface on types_relscan IndexScanDescData (2026-07-02, nbtree publishes when xs_want_itup); tableam fetch lane wired (heapam-handler): fetch::* -> table_index_fetch_*, index_fetch_heap/index_getnext_slot take Mcx + SlotData and update xs_heaptid via &mut; 16 tests, density 4.0%; cold-audit 2026-07-02: retag m2-point-gate (index_getnext_tid/slot per tuple on M2 -- nodeindexscan row names it the M2 bench target; descent core benched at nbt_search); 2026-07-03 heap-batch lane (perf/heap-batch-scans @ 40e57dc6): same-page TID-run batch — one lock_share + one visibility pass per run (bt_peek_same_block_tids -> IndexFetchBatch fill/consume via tableam); m2 RANGE lane FAIL->DUAL PASS 0.885->0.824x instr / 1.006->0.945x wall vs fe38774f baseline, point/fullscan/orderby/select1/m3 delta-flat; e2e scan matrix + concurrent visibility + LP_DEAD pageinspect byte-identical (docs/optimizations/heap-batch-scans.md); 2026-07-03 rescore: heap readahead for plain btree scans, distance-controlled posix_fadvise (5c5e860bb); 2026-07-04 p4-par-index: index_parallelscan_initialize/index_beginscan_parallel/index_parallelrescan (thread-native Arc shared desc), temp-snapshot unregister in index_endscan
backend-access-nbt-compare	src/backend/access/nbtree/nbtcompare.c	ported	nbt_compare	hot-via-nbtree-descent 0.97x/0.99x instr	fabled:backend-access-nbt-compare; m1-dep(stub-ok); cmp family (btbool/int2/4/8/cross/oid/oidvector/char) registered in fmgr_core PORTED; btint4cmp/btint8cmp also direct kernels in nbtree OrderProcFrame (rule 4) - benched inside the nbt_descent lanes (docs/benchmarks/nbt_search.md, dual-gate PASS); sortsupport rows unregistered = loud at fmgr resolve; skipsupport inc/dec kernels (int2/4/8/oid/bool/char) live 2026-07-04, dispatched by crate skipsupport (not via fmgr); 5 tests Miri-clean, density 4.9%
backend-access-nbt-dedup	src/backend/access/nbtree/nbtdedup.c	ported	nbtree	cold-rationale(no crate bench): per-page-full event, not per-row; byte-identity vs C proven e2e	2026-07-03 dedup lane: _bt_dedup_pass LIVE (interval building, single value strategy incl. _bt_do_singleval/_bt_singleval_fillfactor nmaxitems 5/6 arms, XLOG_BTREE_DEDUP write) + btree_xlog_dedup redo; interval state machine shared via types_nbtree::dedup (nbtree_xlog cannot depend on nbtree; _bt_form_posting inlined into finish_pending over owned scratch - zero per-pass pallocs vs C's three, palloc0 pad-parity kept for byte-identity); trigger wired in _bt_delete_or_dedup_one_page (BTGetDeduplicateItems reloptions unported, default on; indexUnchanged folded into uniquedup - OR feeds bottomup trigger + bottomupdedup arg); LOUD: _bt_bottomupdel_pass (deletion lane), _bt_update_posting (vacuum lane), posting-split+page-split coincidence (_bt_split postingoff arm), _bt_check_unique posting TIDs; fix in passing: _bt_split left high key size from t_info not buffer size (posting-chop arm of _bt_truncate shrinks below the allocation); 4 crate tests + redo_roundtrip DEDUP phase byte-exact; e2e scripts/btree-dedup-e2e.sh ALL PASS 2026-07-03: twin-cluster 15.5k dup-key insert sequence -> all 16 index pages byte-identical to C 18.3 (pd_lsn+pd_checksum masked), heap TID layout identical, pgrust crash-recovers own DEDUP WAL, C 18.3 crash-replays our DEDUP WAL, C amcheck bt_index_check(heapallindexed) PASS; create-index e2e + regress-diff stay green; 2026-07-04 posting-split lane: posting-split+page-split coincidence LIVE (see nbt-insert row); remaining LOUD here: _bt_bottomupdel_pass only (deletion lane); _bt_check_unique posting TIDs RETIRED (inposting state machine live, nbtinsert.c:423-750); 2026-07-04 bottomup lane: _bt_bottomupdel_pass + _bt_bottomupdel_finish_pending LIVE (nbtdedup.c:307-521; BTDedupState maxpostingsize=BLCKSZ arm, MAX_HTIDS widened to BLCKSZ/6+2), wired into _bt_delete_or_dedup_one_page (indexUnchanged||uniquedup trigger); NO remaining louds in nbtdedup.c write side; in-crate test: indexUnchanged inserts over all-dead HOT chains fire XLOG_BTREE_DELETE and avoid the split; audited notes/audits/nbtree-phase2.md 2026-07-04 (phase-2 delta audit: PASS, fixes a0dec127d)
backend-access-nbt-insert	src/backend/access/nbtree/nbtinsert.c(partial)	ported	nbtree	m4-write-gate	2026-07-03 create-view session: posting-split insert lane LIVE (_bt_binsrch_posting, _bt_swap_posting, postingoff through _bt_doinsert/_bt_insertonpg, XLOG_BTREE_INSERT_POST write + redo, redo roundtrip byte-exact; posting+page-split coincidence and unique-posting lanes loud) — load-bearing for CREATE VIEW (pg_class_tblspc_relfilenode_index posting tuples); 2026-07-03 create-view session: posting-split insert lane LIVE (_bt_binsrch_posting, _bt_swap_posting, postingoff through _bt_doinsert/_bt_insertonpg, XLOG_BTREE_INSERT_POST write + redo, redo roundtrip byte-exact; posting+page-split coincidence and unique-posting lanes loud); fabled:backend-access-nbtree-core; m1-spine; additive into crate nbtree (insert.rs); LIVE: btinsert/_bt_doinsert, _bt_search_insert with the rightmost-block fastpath cache (RelationSetTargetBlock as keyed thread-local, rd_smgr targblock unported; proven: 1 page read/insert on a 3-level tree), _bt_search BT_WRITE arm w/ descent stack (own fn, read arm untouched - benched lanes preserved; stack = PgVec<StackEntry> slices, not C's linked list), _bt_moveright forupdate arm incl. _bt_finish_split, _bt_binsrch_insert bounds cache, _bt_check_unique UNIQUE_CHECK_YES (dirty-snapshot recheck through tableam::table_index_fetch_tuple_check + committed heapam_visibility; 23505 SQLSTATE; LP_DEAD marking of all-dead dups live), _bt_findinsertloc heapkeyspace arm + _bt_stepright, _bt_insertonpg (no-split + INSERT_LEAF/UPPER/META WAL), _bt_split + _bt_insert_parent/_bt_getstackbuf/_bt_newlevel (SPLIT_L/R + NEWROOT WAL, root creation + root split); LOUD named panics: posting-list split/_bt_swap_posting + _bt_dedup_pass (nbtdedup row; NB every allequalimage=true page-full path routes there until nbtdedup lands - splits live via allequalimage=false), _bt_simpledel_pass/_bt_bottomupdel_pass (LP_DEAD scan itself live), UNIQUE_CHECK_PARTIAL/EXISTING, XactLockTableWait/SpeculativeInsertionWait wait lane (panics in heapam_visibility read-marshal when the dirty snapshot would hand back a valid xwait), !heapkeyspace v2/v3, _bt_upgrademetapage, concurrent-root-split NULL-stack re-descent (single-backend unreachable); C divergences retired 2026-07-03: 23505 errdetail via BuildIndexValueDescription live (genam row); heaprel threaded through the insert chain (vacuum-lane recycle horizon); seams added: bufmgr_seams::conditional_lock_buffer, predicate_seams::predicate_lock_page_split; 6 insert e2e tests in-crate + tests/wal_roundtrip.rs (real xloginsert assembly decoded off disk with real xlogreader: SPLIT_R right-page item stream and NEWROOT root stream restore byte-identical page images, INSERT_LEAF tuples verified); bench: rides the M4 write-path gate (insert cost is composition-dominated: descent already dual-gate PASS at nbt_search, split-point math transcribed to C shape in splitloc row); 2026-07-03 simpledel session: _bt_simpledel_pass + _bt_deadblocks LIVE (delete.rs; nbtinsert.c:2655-3020), _bt_delete_or_dedup_one_page LP_DEAD arm live end-to-end through tableam index_delete_tuples; bottom-up deletion stays loud; in-crate LP_DEAD page-fill test (DELETE record, no split) + scripts/btree-simpledel-e2e.sh twin-cluster churn gold; 2026-07-04 posting-split lane: _bt_split posting-split coincidence LIVE (nbtinsert.c:1560-2030 origpagepostingoff arms in firstright/lastleft/item-transfer, xl_btree_split.postingoff + orignewitem logging when nposting lands left) + _bt_check_unique posting-list TID walk LIVE (inposting/prevalldead/curposti state machine incl posting LP_DEAD marking); coincidence louds RETIRED; verified: redo_roundtrip churn phase (>=1 SPLIT postingoff!=0 byte-exact), 2 in-crate tests, btree-dedup-e2e churn table (DELETE+reinsert+update, oltp_update_index shape): 13 churn index pages byte-identical vs C 18.3, 7 coincidence SPLITs + 233 INSERT_POST via pg_waldump, C cross-replays our churn WAL — fleet job pgrust-fast-tests-58b82220ee-1783179848 @ 58b82220ee PASS; audited notes/audits/nbtree-phase2.md 2026-07-04 (phase-2 delta audit: PASS, fixes a0dec127d)
backend-access-nbt-page	src/backend/access/nbtree/nbtpage.c(partial)	ported	nbtree	m4-write-gate	fabled:backend-access-nbtree-core; m1-spine; write arms additive into crate nbtree (page.rs): _bt_getroot BT_WRITE root creation (lock trade + race recheck + NEWROOT WAL), _bt_allocbuf (FSM via freespace::GetFreeIndexPage then ExtendBufferedRelBy; BTPageIsRecyclable reuse arm loud - page deletion is the only producer), _bt_pageinit/_bt_initmetapage/_bt_conditionallockbuf, metapage write-back helper (pd_lower bump for xlog hole compression); vacuum/page-deletion/delitems arms stay loud; read side unchanged (benched); PAGE-DELETION LANE LIVE 2026-07-03 (pagedel.rs): _bt_delitems_vacuum/_bt_delitems_update (XLOG_BTREE_VACUUM w/ xl_btree_update stream), _bt_pagedel/_bt_mark_page_halfdead/_bt_unlink_halfdead_page/_bt_lock_subtree_parent (MARK_PAGE_HALFDEAD + UNLINK_PAGE(_META) incl fastroot metapage arm), _bt_set_cleanup_info/_bt_vacuum_needs_cleanup (META_CLEANUP), _bt_pendingfsm_* (GetOldestNonRemovable + GlobalVisCheckRemovableFullXid seams), BTPageSetDeleted/GetDeleteXid/IsRecyclable + _bt_allocbuf recycle arm w/ XLOG_BTREE_REUSE_PAGE producer; heaprel threaded through the insert chain as C (bt_allocbuf divergence retired); target==leaf pin aliasing via BufferPin::incr_clone; corruption LOG arms keep C's abandon-and-continue control flow with the messages elided; 2026-07-03 simpledel session: _bt_delitems_delete + _bt_delitems_delete_check LIVE (delete.rs, reusing pagedel bt_delitems_update/VacPosting), XLOG_BTREE_DELETE write side (SizeOfBtreeDelete 9, snapshotConflictHorizon zeroed unless XLogStandbyInfoActive; isCatalogRel const-false divergence)
backend-access-nbt-preprocess	src/backend/access/nbtree/nbtpreprocesskeys.c(partial)	ported	nbtree	m2-gate @ 07b77be91 (job pgrust-m2-gate-1783181008): point 0.987x-instr/1.007x-wall(C-control pod variance; pgrust wall flat across pods), range 0.833x/0.967, fullscan 0.196x/0.264, orderby 0.315x/0.334; non-skip delta vs base 92c36f142: point +60 instr/q (+0.06%), range +5.9k (+0.5%, C-mandated sentinel branch, see docs/optimizations/2026-07-04-skipscan-lane.md), fullscan/orderby bit-flat	2026-07-03 saop-btree lane: scalar preprocessing + PG17 SAOP array arms LIVE (_bt_preprocess_array_keys + _final, _bt_num_array_keys SAOP count, _bt_setup_array_cmp, _bt_sort_array_elements qsort+dedup, _bt_merge_arrays intersection, _bt_saoparray_shrink, array-aware _bt_compare_scankey_args + keyDataMap-aware _bt_unmark_keys); skip arrays (PG18 skip scan) + row compares stay loud phase-2; e2e saop-e2e.sh BYTE-IDENTICAL vs C 18.3 (plans+costs, results, Index Searches) job pgrust-fast-tests-4b09f450ca-1783119325; 2026-07-04 skipscan lane (lane/nbt-skipscan): PG18 skip scan preprocessing LIVE (_bt_num_array_keys skip_eq_ops backfill, skip-array generation in _bt_preprocess_array_keys, _bt_skiparray_shrink low/high_compare merge, _bt_skiparray_strat_adjust/_decrement/_increment via skipsupport crate, IS-NOT-NULL-vs-skip-array arm in _bt_compare_scankey_args, strat_adjust wiring in _keys_final); only row compares remain loud; skipscan verification @ edc880109: fleet fast-tests job pgrust-fast-tests-edc8801096-1783180568 VERDICT PASS (crate suites nbtree/skipsupport/nbt_compare/types_nbtree, crash smoke, RUN_REGRESS_DIFF byte-identical, skipscan-e2e.sh + saop-e2e.sh BYTE-IDENTICAL vs live C 18.3 incl. costs + Index Searches)
backend-access-nbt-search	-	combined-into:backend-access-nbtree-core			fabled:backend-access-nbtree-core; read side (_bt_search/_bt_binsrch/_bt_compare/_bt_first/_bt_next/_bt_readpage/_bt_steppage) verified in crate nbtree src/search.rs; parallel-scan/SAOP arms loud there
backend-access-nbt-splitloc	src/backend/access/nbtree/nbtsplitloc.c(partial)	ported	nbtree	m4-write-gate	fabled:backend-access-nbtree-core; m1-spine; whole file transcribed into crate nbtree (splitloc.rs), C shape kept exactly: _bt_recsplitloc space accounting (posting-list postingsz subtraction incl.), _bt_deltasortsplits (unstable sort on curdelta = C qsort cost shape), _bt_afternewitemoff split-after-new-item optimization + _bt_adjacenthtid, _bt_bestsplitloc w/ many-duplicates guard, _bt_defaultinterval LEAF/INTERNAL_SPLIT_DISTANCE, _bt_strategy/_bt_interval_edges/_bt_split_penalty (DEFAULT/MANY_DUPLICATES/SINGLE_VALUE all live); splits array = PgVec in caller mcx (C pallocs per split); fillfactor via rel.get_fillfactor(BTREE_DEFAULT_FILLFACTOR); rightmost/append behavior exercised by the 160k-key 3-level test; bench: rides the M4 write-path gate (per-split, not per-row)
backend-access-nbt-utils	-	combined-into:backend-access-nbtree-core			fabled:backend-access-nbtree-core; read side; 2026-07-03 saop-btree lane added the PG17 array runtime here (_bt_advance_array_keys, _bt_binsrch_array_skey w/ cur_elem_trig, _bt_tuple_before_array_skeys, _bt_start_prim_scan, _bt_start_array_keys, _bt_scanbehind/_bt_oppodir_checkkeys, _bt_checkkeys_look_ahead, SAOP arm in _bt_set_startikey); (_bt_checkkeys/_bt_check_compare/startikey precheck/_bt_killitems) verified in crate nbtree src/utils.rs; _bt_mkscankey added there (M2; insert/page-del callers pending); row compares loud; 2026-07-04 skipscan lane: skip-array runtime added (_bt_binsrch_skiparray_skey, _bt_skiparray_set_element/_set_isnull, skip arms in _bt_array_set_low_or_high/_bt_array_increment/_bt_array_decrement/_bt_advance_array_keys/_bt_tuple_before_array_skeys/_bt_check_compare sentinels/_bt_set_startikey, nskipadvances accounting); _bt_first MINVAL/MAXVAL low_compare/high_compare boundary keys + NEXT/PRIOR strat override in search.rs
backend-access-nbt-validate	src/backend/access/nbtree/nbtvalidate.c	ported	nbt_validate		fabled:backend-access-nbt-validate; operator-lane 2026-07-03: btvalidate full (INFO message set C-exact incl format_operator/format_procedure rendering) + btadjustmembers (opclass hard-dep vs family soft-dep selection, CCI before opcintype read)
backend-access-nbt-xlog	src/backend/access/nbtree/nbtxlog.c	ported	nbtree_xlog	cold(recovery-only)	fabled:backend-access-nbt-xlog; btree_redo wired into rmgr row 11 (was named-panic blocker for crash recovery, notes/crash-restart-design.md); LIVE arms = exactly the write side's emissions (nbt-insert lane): btree_xlog_insert LEAF/UPPER/META, btree_xlog_split L/R (temp-page left rebuild incl. special-area retention + INCOMPLETE_SPLIT flags, right-sibling btpo_prev arm, child incomplete-split clear), btree_xlog_newroot level 0+1, _bt_restore_page/_bt_restore_meta/_bt_clear_incomplete_split; LOUD named panics: split postingoff!=0 (posting-split+page-split coincidence), btree_mask still loud (wal_consistency_checking lane); C divergence: no opCtx (rm_startup/cleanup None; redo uses stack scratch, no per-record allocs); BTMetaPageData::page_image added in types_nbtree — write side (nbtree write_meta/bt_initmetapage) previously wrote uninit struct padding into WAL'd metapage bytes, now zero like C's field stores; verified: tests/redo_roundtrip.rs (real WAL off disk replayed by real btree_redo through xlogutils into wiped storage; all 5 blocks byte-exact vs write-side pages; SPLIT_L+SPLIT_R+INSERT_UPPER+2xNEWROOT+INSERT_LEAF all exercised) + xlogrecovery crash_recovery e2e (900-key tree over real bufmgr, crash-copy, StartupXLOG replay, chain-walk returns 1..=900 in order, every index block byte-exact on disk) + crash-restart smoke DDL fence REMOVED (system-index WAL now crash-replayed) + C-interop smoke phase (C 18.3 boots the pgrust-crashed dd and crash-replays our WAL incl. post-recovery DDL btree records) — fleet VERDICT PASS job pgrust-fast-tests-a23920a25b-1783068433 @ a23920a25b (branch fleet/nbtxlog-redo-r3-1783068420 kept as provenance); un-fenced replay also required the freespace XLogRecordPageWithFreeSpace redo arm (see backend-storage-freespace row); density 2.8%; VACUUM-LANE REDO LIVE 2026-07-03: btree_xlog_vacuum/delete (shared arm; cleanup lock for VACUUM per README; posting xl_btree_update replay via local byte-level _bt_update_posting), mark_page_halfdead, unlink_page(+_META), reuse_page (no-op on primary; standby conflict arm loud), META_CLEANUP via bt_restore_meta; tests/vacuum_redo_roundtrip.rs: fork-aware fake bufmgr (real freespace FSM traffic), btbulkdelete over planted posting tuple + page deletion, storage wiped, replay byte-exact under btree_mask rules (hole + HAS_GARBAGE/SPLIT_END/cycleid); 2026-07-04 posting-split lane: btree_xlog_split postingoff!=0 arm LIVE (redo-side _bt_swap_posting against oposting at newitemoff-1, nposting replacement in the left-page rebuild, orignewitem decode on SPLIT_R too); split posting loud RETIRED; remaining loud: btree_mask (wal_consistency_checking lane); audited notes/audits/nbtree-phase2.md 2026-07-04 (phase-2 delta audit: PASS, fixes a0dec127d)
backend-access-nbtree-core	src/backend/access/nbtree/nbtsearch.c,src/backend/access/nbtree/nbtinsert.c(partial),src/backend/access/nbtree/nbtpage.c(partial),src/backend/access/nbtree/nbtutils.c,src/backend/access/nbtree/nbtsplitloc.c(partial),src/backend/access/nbtree/nbtpreprocesskeys.c	ported	nbtree	descent 0.97x/0.99x/0.96x instr, ns parity (fleet)	m1-spine; READ path complete (search/binsrch/compare/readpage/steppage/preprocess/checkkeys/killitems); OrderProcFrame scan-owned fcinfo (fmgr M2 watch item honored - zero per-tuple function_call2); rule-5 caches implemented+tested (rd_amcache, rd_supportinfo, attcacheoff); indexam arms direct; xs_itup surface live 2026-07-02 (btbeginscan publishes xs_itupdesc=rd_att, bt_returnitem publishes xs_itup into currPos currTuples page-copy when xs_want_itup; readpage memcpy arm was already in); INSERT lane live 2026-07-02 (see nbt-insert/nbt-page/nbt-splitloc rows; additive, read lanes untouched); vacuum/SAOP/skip-scan loud phase 2; 21 tests + wal_roundtrip integration test, density 5.0%; fleet-benched 2026-07-02 (docs/benchmarks/nbt_search.md, job pgrust-fast-microbench-1783036144): int4/int8/text-C descent lanes vs verbatim nbtsearch.c lifts, dual-gate PASS after (a) amortized page checks (checkpage-once model, unchecked item accessors) and (b) known-set BTORDER kernel dispatch in OrderProcFrame (rule 4; 351/842/356/360-C-coll inlined, fmgr fallback); _bt_mkscankey added (utils.rs, insert/page-del callers pending); text-ns +3%-in-noise watch item; 2026-07-03 simpledel session BUGFIX: killedItems is C's overwrite-at-numKilled array (nbtutils.c _bt_killitems resets numKilled without truncating) — the append-style push made every post-first-page flush re-apply the previous page's item indexes (wrong LP_DEAD marks + each later page's tail never marked); found by twin-cluster WAL first-divergence in the simpledel churn e2e, fix proven byte-identical (24 index pages == C, WAL histogram identical); 2026-07-03 rescore: SAOP clause superseded — PG17 array keys live (7960d9005; skip arrays still loud); bt_checkkeys ARRAY_KEYS monomorphize + const ADVANCE_NONREQUIRED + inline(always) bt_check_compare (536fa54eb, fbd7d6d3c, 75c08cae9); range residual journal docs/optimizations/saop-range-residual.md (55907dc5e) | train2: m1-spine; READ path complete (search/binsrch/compare/readpage/steppage/preprocess/checkkeys/killitems); OrderProcFrame scan-owned fcinfo (fmgr M2 watch item honored - zero per-tuple function_call2); rule-5 caches implemented+tested (rd_amcache, rd_supportinfo, attcacheoff); indexam arms direct; xs_itup surface live 2026-07-02 (btbeginscan publishes xs_itupdesc=rd_att, bt_returnitem publishes xs_itup into currPos currTuples page-copy when xs_want_itup; readpage memcpy arm was already in); INSERT lane live 2026-07-02 (see nbt-insert/nbt-page/nbt-splitloc rows; additive, read lanes untouched); vacuum/SAOP/skip-scan loud phase 2; 21 tests + wal_roundtrip integration test, density 5.0%; fleet-benched 2026-07-02 (docs/benchmarks/nbt_search.md, job pgrust-fast-microbench-1783036144): int4/int8/text-C descent lanes vs verbatim nbtsearch.c lifts, dual-gate PASS after (a) amortized page checks (checkpage-once model, unchecked item accessors) and (b) known-set BTORDER kernel dispatch in OrderProcFrame (rule 4; 351/842/356/360-C-coll inlined, fmgr fallback); _bt_mkscankey added (utils.rs, insert/page-del callers pending); text-ns +3%-in-noise watch item; 2026-07-03 simpledel session BUGFIX: killedItems is C's overwrite-at-numKilled array (nbtutils.c _bt_killitems resets numKilled without truncating) — the append-style push made every post-first-page flush re-apply the previous page's item indexes (wrong LP_DEAD marks + each later page's tail never marked); found by twin-cluster WAL first-divergence in the simpledel churn e2e, fix proven byte-identical (24 index pages == C, WAL histogram identical); range-ddl lane 2026-07-04: OrderProcFrame generic proc arm arms fcinfo with a reset-per-outermost-acquisition TLS scratch mcx (with_proc_scratch, lsyscache precedent; re-entry via nested catalog scans takes a fresh context) — by-ref cmp procs (range_cmp, toasted text under non-C collations) previously hit the unarmed-result-mcx panic; inlined int/text-C/numeric kernels unchanged; range-ddl landing 2026-07-04 M2 spot pair (pgrust-m2-gate-1783184689-9834 splice vs -1783184706-31001 main): range lane +2.7% instr (940240->965284/q, span 500), cycles+wall FLAT, vs-C instr 0.835->0.857 PASS with margin; attribution: OrderProcFrame::test() has NO kernel arms, so the lane's with_proc_scratch TLS acquisition (borrow+reset) now wraps EVERY per-tuple operator-proc check in _bt_check_compare (~50 instr/tuple) — the 'off the int fast path' premise holds for cmp/cmp_proc only; ACCEPTED for landing (bloom seljoin_anti rider precedent: wall/cycles flat, vs-C PASS, lever named); RECOVERY CHARTERED: known-set kernel arms for test() (int4lt/int4le/int4gt/int4ge/int4eq, mirroring cmp's dispatch), micro-lane after the in-flight fmgr-frame lever lands (adjacent machinery, should compose); BANKED: range instr ratio at this lineage is 0.857 — future executors protect 0.857, not the stale 0.828; audited notes/audits/nbtree-phase2.md 2026-07-04 (phase-2 delta audit: PASS, fixes a0dec127d); 2026-07-04 p4-par-index: parallel scan arms live (_bt_parallel_seize/release/done/primscan_schedule incl. SAOP/skip array serialize/restore; _bt_first/_bt_readpage/_bt_readnextpage seized handoff)
backend-access-nbtree-nbtree	src/backend/access/nbtree/nbtree.c(partial)	ported	nbtree	cold-rationale(no crate bench): maintenance path; e2e-verified	fabled:backend-access-nbtree-nbtree; m1-spine; VACUUM ARMS LIVE 2026-07-03 (vacuum.rs): btbulkdelete/btvacuumcleanup/btvacuumscan/btvacuumpage incl backtracking + btreevacuumposting + _bt_update_posting (nbtdedup.c; posting images owned copies), cycle IDs via process-global Mutex registry standing in for shmem+BtreeVacuumLock (nbtutils.c); DIVERGENCES: bulkdelete callback monomorphized to sorted dead-TID slice (vac_tid_reaped sole producer; rule 4), read stream = sync per-block reads, extension lock skipped (C's own XXX; EB_LOCK_FIRST), ereport chatter elided, PG_ENSURE_ERROR_CLEANUP = end-vacuum on PgResult error (panic aborts backend); LOUD: parallel scans/SAOP unchanged, cost-based vacuum delay; verified: nbtree_xlog/tests/vacuum_redo_roundtrip.rs + scripts/vacuum-index-e2e.sh (11/11 PASS: C 18.3 crash-replays our vacuum WAL, amcheck heapallindexed green, relstats+index sizes == C's own VACUUM) | train2: fabled:backend-access-nbtree-nbtree; m1-spine; VACUUM ARMS LIVE 2026-07-03 (vacuum.rs): btbulkdelete/btvacuumcleanup/btvacuumscan/btvacuumpage incl backtracking + btreevacuumposting + _bt_update_posting (nbtdedup.c; posting images owned copies), cycle IDs via process-global Mutex registry standing in for shmem+BtreeVacuumLock (nbtutils.c); DIVERGENCES: bulkdelete callback monomorphized to sorted dead-TID slice (vac_tid_reaped sole producer; rule 4), read stream = sync per-block reads, extension lock skipped (C's own XXX; EB_LOCK_FIRST), ereport chatter elided, PG_ENSURE_ERROR_CLEANUP = end-vacuum on PgResult error (panic aborts backend); LOUD: parallel scans/SAOP unchanged, cost-based vacuum delay; verified: nbtree_xlog/tests/vacuum_redo_roundtrip.rs + scripts/vacuum-index-e2e.sh (11/11 PASS: C 18.3 crash-replays our vacuum WAL, amcheck heapallindexed green, relstats+index sizes == C's own VACUUM); publication-lane 2026-07-03: order_procinfo releases rd_supportinfo borrow across get_opfamily_proc (re-entrant pg_amproc scan) || 2026-07-04 vmclear lane: ProcessInterrupts SERVICED — nbtree check_for_interrupts now calls postgres_seams::check_for_interrupts (inline flag test, seam only when pending; phase-2 loud retired), PgResult propagated at the 6 C-matching CFI sites (_bt_readnextpage forward step, _bt_lock_and_validate_left, vacuum_delay_point, 3 pagedel walk sites); statement_timeout mid-scan is now a clean 57014 with the session alive. Verdicts: btree-cfi-e2e fwd+back byte-identical vs live C incl plan witness (job pgrust-fast-tests-be24f8d445-1783188533); M2 point instr BIT-FLAT vs main (92625 tip vs 92623 main, ratio 0.987 both; wall 1.012 vs 0.999 unbacked noise; jobs pgrust-m2-gate-1783188034/-1783188371).
